index,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNC,EXCEPTRSND,SEVERITYCO,SEVERITYDE,COLLISIONT,PERSONCOUN,PEDCOUNT,PEDCYLCOUN,VEHCOUNT,INJURIES,SERIOUSINJ,FATALITIES,INCDATE,INCDTTM,JUNCTIONTY,SDOT_COLCO,SDOT_COLDE,INATTENTIO,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTG,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKK,HITPARKEDC,geometry,near_str_index
475,1476,147200,147220,3606084,Matched,Intersection,29783,12TH AVE AND E MARION ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-05-30T00:00:00.000Z,5/30/2013 4:56:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,10716,0,N,POINT (1274522.996277913 226180.1760276705),8515.0
504,1505,103800,103800,3289763,Matched,Intersection,26916,BURKE AVE N AND N NORTHLAKE WAY,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2009-03-05T00:00:00.000Z,3/5/2009,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Overcast,Wet,Daylight,Y,09064020,,45,Vehicle - Pedalcyclist,0,522489,N,POINT (1270247.452977523 239571.4920093715),7209.0
519,1520,130400,130400,3545544,Matched,Block,,S BRIGHTON ST BETWEEN 30TH AVE S AND 32ND AVE S,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2011-06-29T00:00:00.000Z,6/29/2011 8:00:00 PM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,11180005,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1280115.965435639 200871.6652177423),22718.0
576,1577,146200,146220,3505516,Matched,Intersection,31917,42ND AVE SW AND SW ALASKA ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-05-15T00:00:00.000Z,5/15/2013 5:06:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,Y,,,45,Vehicle - Pedalcyclist,0,521779,N,POINT (1257222.715428188 208526.5644895881),4678.0
679,1680,107400,107400,3559477,Matched,Intersection,29848,MELROSE AVE AND E OLIVE PL,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2010-12-02T00:00:00.000Z,12/2/2010 8:28:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Overcast,Dry,Daylight,Y,10336004,,45,Vehicle - Pedalcyclist,11522,0,N,POINT (1271833.903923154 228667.5060782135),3700.0
680,1681,134000,134000,3596935,Matched,Intersection,27146,BROOKLYN AVE NE AND NE PACIFIC ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2012-04-15T00:00:00.000Z,4/15/2012 2:50:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,12106008,,45,Vehicle - Pedalcyclist,31308,0,N,POINT (1275391.259190798 241925.637547791),9302.0
739,1740,123900,123900,3466580,Matched,Intersection,25478,MERIDIAN AVE N AND N 61ST ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-08-17T00:00:00.000Z,8/17/2011 9:00:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,Y,Clear or Partly Cloudy,Dry,Dark - Street Lights On,Y,11229018,Y,45,Vehicle - Pedalcyclist,31796,0,N,POINT (1270830.827826127 249063.9535870999),1275.0
742,1743,95700,95700,2792944,Matched,Block,,MARINE VIEW DR SW BETWEEN SW OCEAN VIEW DR AND 35TH AVE SW,,,2b,Serious Injury Collision,Cycles,3,0,1,1,1,1,0,2009-04-04T00:00:00.000Z,4/4/2009,Mid-Block (not related to intersection),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,Y,09094007,,45,Vehicle - Pedalcyclist,31380,0,N,POINT (1258658.624549657 186057.9960185736),20854.0
750,1751,136700,136700,3504132,Matched,Intersection,24475,ROOSEVELT WAY NE AND NE 69TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2012-04-23T00:00:00.000Z,4/23/2012 5:09:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,12114007,,45,Vehicle - Pedalcyclist,9417,0,N,POINT (1274849.841718242 251108.8769811839),937.0
787,1788,174300,174320,3505820,Matched,Intersection,28885,3RD AVE N AND ROY ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-08-25T00:00:00.000Z,8/25/2014 3:26:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,12407,0,N,POINT (1266073.315117255 231833.0710094571),5521.0
794,1795,214000,214260,3704205,Matched,Block,,E PINE ST BETWEEN BROADWAY AND NAGLE PL,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2016-02-20T00:00:00.000Z,2/20/2016 10:37:00 PM,,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Dark - Street Lights Off,,,,45,Vehicle - Pedalcyclist,10402,0,N,POINT (1273661.878837034 227963.7055654824),3973.0
798,1799,173700,173720,3584043,Matched,Intersection,29913,5TH AVE AND UNION ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-08-14T00:00:00.000Z,8/14/2014 12:50:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Overcast,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,24884,0,N,POINT (1270106.840369388 226006.9446674883),6788.0
813,1814,153200,153204,3612944,Matched,Block,,NW MARKET ST BETWEEN 28TH AVE NW AND NW 54TH ST,,,2,Injury Collision,Rear Ended,4,0,1,2,3,0,0,2013-09-01T00:00:00.000Z,9/1/2013 1:13:00 PM,Mid-Block (not related to intersection),54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,25933,0,N,POINT (1255987.824546933 247800.8483058065),13006.0
840,1841,194800,194900,E423624,Matched,Block,,GREENWOOD AVE N BETWEEN N 76TH ST AND N 77TH ST,,,2,Injury Collision,Cycles,0,0,1,1,1,0,0,2015-05-08T00:00:00.000Z,5/8/2015 1:20:00 PM,,00,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,4477,0,Y,POINT (1265557.252844721 253348.1937834769),15388.0
910,1911,217700,217980,E532429,Matched,Intersection,36261,PALATINE AVE N AND N 110TH ST,NEI,"Not Enough Information, or Insufficient Location Information",2,Injury Collision,Angles,1,0,1,1,1,0,0,2016-04-01T00:00:00.000Z,4/1/2016 9:40:00 AM,At Intersection (intersection related),00,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,,10,Entering at angle,0,0,N,POINT (1265359.562028527 262232.1013125777),1195.0
960,1961,180200,180260,3626381,Matched,Block,,10TH AVE E BETWEEN E ALOHA ST AND E PROSPECT ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-12-03T00:00:00.000Z,12/3/2014 5:53:00 PM,Mid-Block (not related to intersection),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,6170,0,N,POINT (1273797.749557167 232525.5717461556),18826.0
965,1966,220400,220680,3703708,Matched,Intersection,26465,20TH AVE W AND GILMAN AVE W,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2016-05-31T00:00:00.000Z,5/31/2016 6:25:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,15402,0,N,POINT (1258734.049317747 241061.6769708991),18154.0
978,1979,219700,219980,E537572,Matched,Block,,2ND AVE BETWEEN PIKE ST AND PINE ST,,,1,Property Damage Only Collision,Cycles,0,0,1,1,0,0,0,2016-04-19T00:00:00.000Z,4/19/2016 8:30:00 AM,Mid-Block (but intersection related),54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,12181,0,N,POINT (1268950.511472195 226064.2551955432),9715.0
982,1983,160100,160120,3646309,Matched,Intersection,27167,UNIVERSITY WAY NE AND NE PACIFIC ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-01-09T00:00:00.000Z,1/9/2014 7:55:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,522415,N,POINT (1275674.208311081 241847.4433717132),2203.0
999,2000,221100,221380,3738424,Matched,Intersection,29188,E JOHN ST AND E OLIVE WAY,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2016-05-31T00:00:00.000Z,5/31/2016 10:44:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,23258,0,N,POINT (1272743.709492087 229563.6079671234),6983.0
1022,2023,225600,225937,E575126,Matched,Intersection,25218,28TH AVE NW AND NW 58TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2016-08-17T00:00:00.000Z,8/17/2016 6:25:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1256204.805155158 248624.5516026467),5487.0
1050,2051,163900,163924,3577580,Matched,Intersection,29913,5TH AVE AND UNION ST,NEI,"Not Enough Information, or Insufficient Location Information",1,Property Damage Only Collision,Cycles,5,0,1,1,0,0,0,2014-02-20T00:00:00.000Z,2/20/2014 8:27:00 PM,At Intersection (intersection related),00,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear or Partly Cloudy,Wet,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,24889,0,N,POINT (1270106.840369388 226006.9446674883),6788.0
1054,2055,203200,203340,3707999,Matched,Block,,UNIVERSITY BR BETWEEN FUHRMAN AVE E AND POINT A,,,2,Injury Collision,Cycles,1,0,1,0,1,0,0,2015-09-25T00:00:00.000Z,9/25/2015 7:41:00 AM,Mid-Block (not related to intersection),69,PEDALCYCLIST OVERTURNED IN ROAD,,N,Raining,Wet,Dawn,,,,45,Vehicle - Pedalcyclist,15469,0,N,POINT (1273794.575541168 241382.5926832259),995.0
1099,2100,164700,164720,3587239,Matched,Intersection,27167,UNIVERSITY WAY NE AND NE PACIFIC ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-03-14T00:00:00.000Z,3/14/2014 2:30:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Unknown,Unknown,Unknown,Y,,,45,Vehicle - Pedalcyclist,0,522415,N,POINT (1275674.208311081 241847.4433717132),2203.0
1102,2103,185900,185980,3641268,Matched,Intersection,30363,ALASKAN WAY S AND S MAIN ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2015-02-22T00:00:00.000Z,2/22/2015 2:52:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,44781,0,N,POINT (1269731.106609002 222497.5246318877),8833.0
1117,2118,184800,184880,3698937,Matched,Block,,1ST AVE S BETWEEN S STACY ST AND S LANDER ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2015-01-31T00:00:00.000Z,1/31/2015 1:59:00 PM,Driveway Junction,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1270016.518385291 215490.2052007169),14740.0
1121,2122,226000,226340,3704779,Matched,Intersection,30418,12TH AVE S AND BOREN AVE S,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2016-08-13T00:00:00.000Z,8/13/2016 9:15:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,34870,0,N,POINT (1274410.087477788 222701.0610160977),2376.0
1132,2133,166200,166220,3701388,Matched,Intersection,28428,24TH AVE E AND E LYNN ST,,,2,Injury Collision,Cycles,3,0,1,1,2,0,0,2014-04-09T00:00:00.000Z,4/9/2014 1:24:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,22316,0,N,POINT (1278350.839609832 236736.1624704748),1115.0
1210,2211,169200,169220,3701739,Matched,Block,,BROADWAY BETWEEN E PINE ST AND XW E OLIVE ST,,,2,Injury Collision,Cycles,1,0,1,0,1,0,0,2014-06-04T00:00:00.000Z,6/4/2014 8:45:00 AM,Mid-Block (not related to intersection),69,PEDALCYCLIST OVERTURNED IN ROAD,,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,6853,0,N,POINT (1273567.713908926 228177.0842537135),8862.0
1221,2222,168900,168920,3705199,Matched,Intersection,28917,2ND AVE N AND MERCER ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-05-15T00:00:00.000Z,5/15/2014 6:22:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,523112,N,POINT (1265743.638316914 231524.0134731382),846.0
1231,2232,151300,151320,3642031,Matched,Intersection,25225,NW 54TH ST AND NW MARKET ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-07-25T00:00:00.000Z,7/25/2013 3:01:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,25965,0,N,POINT (1255784.480802715 247803.7111538053),13006.0
1269,2270,191200,191280,3738458,Matched,Intersection,27093,ROOSEVELT WAY NE AND NE 42ND S ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2015-04-20T00:00:00.000Z,4/20/2015 7:49:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,8985,0,N,POINT (1274602.278453991 243369.3024452627),16173.0
1270,2271,151100,151120,3465394,Matched,Block,,SW GENESEE ST BETWEEN 25TH AVE SW AND 26TH AVE SW,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2013-07-23T00:00:00.000Z,7/23/2013 3:48:00 PM,Mid-Block (not related to intersection),21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,32765,0,N,POINT (1262320.753961414 209757.6500588506),8065.0
1309,2310,151900,151920,3502750,Matched,Intersection,25545,STONE WAY N AND N 49TH ST,,,2,Injury Collision,Cycles,4,0,1,1,1,0,0,2013-08-07T00:00:00.000Z,8/7/2013 12:22:00 PM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1269011.817264259 245949.9749599099),1263.0
1409,2410,299000,300180,3812073,Matched,Block,,S DEARBORN ST BETWEEN 7TH AVE S AND 8TH AVE S,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-07-12T00:00:00.000Z,7/12/2018 3:42:00 PM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,6,Pedalcyclist Strikes Moving Vehicle,0,0,N,POINT (1272858.619828209 220899.3477982581),14154.0
1491,2492,303500,304760,3814186,Matched,Block,,12TH AVE BETWEEN E MADISON ST AND E PIKE ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-09-18T00:00:00.000Z,9/18/2018 10:09:00 AM,Mid-Block (not related to intersection),21,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Overcast,Dry,Daylight,,,,5,Vehicle Strikes Pedalcyclist,0,0,N,POINT (1274543.503669932 227311.3066528141),39.0
1505,2506,237300,237740,3744480,Matched,Intersection,31915,38TH AVE SW AND FAUNTLEROY WAY SW,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2017-03-22T00:00:00.000Z,3/22/2017 5:12:00 AM,At Intersection (intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,16285,0,N,POINT (1258555.843365565 208932.1189219952),2964.0
1519,2520,302000,303220,E835702,Matched,Block,,7TH AVE BETWEEN BELL ST AND DEXTER AVE,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-09-04T00:00:00.000Z,9/4/2018 4:06:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,5,Vehicle Strikes Pedalcyclist,0,0,N,POINT (1268384.267439619 228955.4243505001),12021.0
1520,2521,262300,263060,E750706,Matched,Block,,MERCER ST BETWEEN 5TH AVE N AND TAYLOR AVE N,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2017-12-20T00:00:00.000Z,12/20/2017 6:15:00 PM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Unknown,Unknown,Unknown,Y,,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1267191.669166401 231490.7403851002),6599.0
1566,2567,16465,16465,3569125,Matched,Intersection,36977,23RD AVE NW AND NW 85TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-04-04T00:00:00.000Z,4/4/2013 7:30:00 AM,At Intersection (intersection related),23,"MOTOR VEHICLE STRUCK PEDALCYCLIST, LEFT SIDE SIDESWIPE",,N,Unknown,Unknown,Daylight,Y,,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1258185.639461175 255757.6677699536),4414.0
1598,2599,12923,12923,1776526,Matched,Block,,4TH AVE S BETWEEN SEATTLE BLVD S AND I90 WB 4TH AV OFF RP,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2004-04-21T00:00:00.000Z,4/21/2004 12:45:00 PM,Driveway Junction,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Wet,Daylight,,04112025,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1271391.178034708 220765.3678941131),23672.0
1622,2623,16453,16453,3501827,Matched,Block,,N 50TH ST BETWEEN STONE AVE N AND GREEN LAKE WAY N,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-04-04T00:00:00.000Z,4/4/2013 5:05:00 PM,Mid-Block (not related to intersection),54,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,,N,Raining,Wet,Daylight,,,Y,45,Vehicle - Pedalcyclist,21592,0,N,POINT (1268904.492400154 246224.4119521827),7136.0
1988,2989,16729,16729,3551423,Matched,Block,,NE 47TH ST BETWEEN 24TH AVE NE AND 25TH AVE NE,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2013-04-08T00:00:00.000Z,4/8/2013 2:36:00 PM,Mid-Block (but intersection related),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,0,N,POINT (1278714.9036742 245342.8177112788),11474.0
2141,3142,16776,16776,3562743,Matched,Block,,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-04-11T00:00:00.000Z,4/11/2013 2:09:00 PM,Mid-Block (not related to intersection),18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,Y,,,45,Vehicle - Pedalcyclist,36127,0,N,POINT (1270153.443825439 222335.9730157256),16188.0
